"customer_id","customer_name","birth_date","marital_status","gender","yearlyincome","addressline1","city","state","country","postal_code"
11000,"Jon V Yang","1971-10-06","M","M","90000.00","3761 N. 14th St","Rockhampton","Queensland","Australia","4700"
11001,"Eugene L Huang","1976-05-10","S","M","60000.00","2243 W St.","Seaford","Victoria","Australia","3198"
11002,"Ruben Torres","1971-02-09","M","M","60000.00","5844 Linden Land","Hobart","Tasmania","Australia","7001"
11003,"Christy Zhu","1973-08-14","S","F","70000.00","1825 Village Pl.","North Ryde","New South Wales","Australia","2113"
11004,"Elizabeth Johnson","1979-08-05","S","F","80000.00","7553 Harness Circle","Wollongong","New South Wales","Australia","2500"
11005,"Julio Ruiz","1976-08-01","S","M","70000.00","7305 Humphrey Drive","East Brisbane","Queensland","Australia","4169"
11006,"Janet G Alvarez","1976-12-02","S","F","70000.00","2612 Berry Dr","Matraville","New South Wales","Australia","2036"
11007,"Marco Mehta","1969-11-06","M","M","60000.00","942 Brook Street","Warrnambool","Victoria","Australia","3280"
11008,"Rob Verhoff","1975-07-04","S","F","60000.00","624 Peabody Road","Bendigo","Victoria","Australia","3550"
11009,"Shannon C Carlson","1969-09-29","S","M","70000.00","3839 Northgate Road","Hervey Bay","Queensland","Australia","4655"
11010,"Jacquelyn C Suarez","1969-08-05","S","F","70000.00","7800 Corrinne Court","East Brisbane","Queensland","Australia","4169"
11011,"Curtis Lu","1969-05-03","M","M","60000.00","1224 Shoenic","East Brisbane","Queensland","Australia","4169"
11012,"Lauren M Walker","1979-01-14","M","F","100000.00","4785 Scott Street","Bremerton","Washington","United States","98312"
11013,"Ian M Jenkins","1979-08-03","M","M","100000.00","7902 Hudson Ave.","Lebanon","Oregon","United States","97355"
11014,"Sydney Bennett","1973-11-06","S","F","100000.00","9011 Tank Drive","Redmond","Washington","United States","98052"
11015,"Chloe Young","1984-08-26","S","F","30000.00","244 Willow Pass Road","Burbank","California","United States","91502"
11016,"Wyatt L Hill","1984-10-25","M","M","30000.00","9666 Northridge Ct.","Imperial Beach","California","United States","91932"
11017,"Shannon Wang","1949-12-24","S","F","20000.00","7330 Saddlehill Lane","Sunbury","Victoria","Australia","3429"
11018,"Clarence D Rai","1955-10-06","S","M","30000.00","244 Rivewview","Bendigo","Victoria","Australia","3550"
11019,"Luke L Lal","1983-09-04","S","M","40000.00","7832 Landing Dr","Langley","British Columbia","Canada","V3A 4R2"
11020,"Jordan C King","1984-03-19","S","M","40000.00","7156 Rose Dr.","Metchosin","British Columbia","Canada","V9"
11021,"Destiny Wilson","1984-03-02","S","F","40000.00","8148 W. Lake Dr.","Beaverton","Oregon","United States","97005"
11022,"Ethan G Zhang","1984-04-10","M","M","40000.00","1769 Nicholas Drive","Bellingham","Washington","United States","98225"
11023,"Seth M Edwards","1984-04-09","M","M","40000.00","4499 Valley Crest","Bellflower","California","United States","90706"
11024,"Russell Xie","1984-03-16","M","M","60000.00","8734 Oxford Place","Concord","California","United States","94519"
11025,"Alejandro Beck","1951-06-22","M","M","10000.00","2596 Franklin Canyon Road","Hawthorne","Queensland","Australia","4171"
11026,"Harold Sai","1951-10-01","S","M","30000.00","8211 Leeds Ct.","Goulburn","New South Wales","Australia","2580"
11027,"Jessie R Zhao","1952-06-05","M","M","30000.00","213 Valencia Place","Warrnambool","Victoria","Australia","3280"
11028,"Jill Jimenez","1951-10-09","M","F","30000.00","9111 Rose Ann Ave","St. Leonards","New South Wales","Australia","2065"
11029,"Jimmy L Moreno","1952-06-19","M","M","30000.00","6385 Mark Twain","Bendigo","Victoria","Australia","3550"
11030,"Bethany G Yuan","1958-02-18","M","F","10000.00","636 Vine Hill Way","Cloverdale","South Australia","Australia","6105"
11031,"Theresa G Ramos","1953-02-18","M","F","20000.00","6465 Detroit Ave.","Matraville","New South Wales","Australia","2036"
11032,"Denise Stone","1952-12-08","M","F","20000.00","626 Bentley Street","Melbourne","Victoria","Australia","3000"
11033,"Jaime Nath","1958-09-19","M","M","20000.00","5927 Rainbow Dr","Milsons Point","New South Wales","Australia","2061"
11034,"Ebony Gonzalez","1952-12-16","M","F","20000.00","5167 Condor Place","North Sydney","New South Wales","Australia","2055"
11035,"Wendy Dominguez","1953-08-23","M","F","10000.00","1873 Mt. Whitney Dr","Cranbourne","Victoria","Australia","3977"
11036,"Jennifer C Russell","1984-06-16","M","F","60000.00","3981 Augustine Drive","National City","California","United States","91950"
11037,"Chloe M Garcia","1983-05-27","S","F","40000.00","8915 Woodside Way","Cliffside","British Columbia","Canada","V8Y 1L1"
11038,"Diana F Hernandez","1953-09-20","M","F","10000.00","8357 Sandy Cove Lane","Lavender Bay","New South Wales","Australia","2060"
11039,"Marc J Martin","1954-06-16","M","M","30000.00","9353 Creekside Dr.","Wollongong","New South Wales","Australia","2500"
11040,"Jesse Murphy","1983-01-29","M","M","30000.00","3350 Kingswood Circle","Tacoma","Washington","United States","98403"
11041,"Amanda M Carter","1983-04-15","M","F","60000.00","5826 Escobar","Glendale","California","United States","91203"
11042,"Megan J Sanchez","1982-12-11","M","F","70000.00","1397 Paraiso Ct.","Los Angeles","California","United States","90012"
11043,"Nathan M Simmons","1981-08-23","M","M","60000.00","1170 Shaw Rd","Glendale","California","United States","91203"
11044,"Adam L Flores","1954-11-21","M","M","20000.00","6935 Candle Dr","Hervey Bay","Queensland","Australia","4655"
11045,"Leonard G Nara","1955-11-16","S","M","30000.00","7466 La Vista Ave.","Matraville","New South Wales","Australia","2036"
11046,"Christine Yuan","1955-09-19","M","F","30000.00","2356 Orange St","Lavender Bay","New South Wales","Australia","2060"
11047,"Jaclyn D Lu","1955-08-27","M","F","30000.00","2812 Mazatlan","Geelong","Victoria","Australia","3220"
11048,"Jeremy Powell","1956-05-21","M","M","30000.00","1803 Potomac Dr.","Sunbury","Victoria","Australia","3429"
11049,"Carol C Rai","1986-01-15","S","F","40000.00","6064 Madrid","Chula Vista","California","United States","91910"
11050,"Alan Zheng","1957-03-06","M","M","30000.00","2741 Gainborough Dr.","Hobart","Tasmania","Australia","7001"
11051,"Daniel Johnson","1957-01-31","S","M","30000.00","8085 Sunnyvale Avenue","Caloundra","Queensland","Australia","4551"
11052,"Heidi Lopez","1957-02-03","S","F","40000.00","2514 Via Cordona","Matraville","New South Wales","Australia","2036"
11053,"Ana E Price","1986-02-17","M","F","60000.00","1660 Stonyhill Circle","San Diego","California","United States","92102"
11054,"Deanna Munoz","1957-09-07","M","F","40000.00","5825 B Way","Geelong","Victoria","Australia","3220"
11055,"Gilbert Raje","1957-09-02","M","M","40000.00","8811 The Trees Dr.","East Brisbane","Queensland","Australia","4169"
11056,"Michele L Nath","1958-10-01","M","F","40000.00","5464 Janin Pl.","Newcastle","New South Wales","Australia","2300"
11057,"Carl J Andersen","1970-04-07","M","M","70000.00","6930 Lake Nadine Place","Lane Cove","New South Wales","Australia","1597"
11058,"Marc Diaz","1965-04-23","M","M","80000.00","6645 Sinaloa","Findon","South Australia","Australia","5023"
11059,"Ashlee J Andersen","1959-09-29","S","F","80000.00","8255 Highland Road","Townsville","Queensland","Australia","4810"
11060,"Jon L Zhou","1959-09-14","M","M","80000.00","6574 Hemlock Ave.","Warrnambool","Victoria","Australia","3280"
11061,"Todd M Gao","1976-02-20","M","M","80000.00","8808 Geneva Ave","Gold Coast","Queensland","Australia","4217"
11062,"Noah D Powell","1981-03-01","M","M","40000.00","9794 Marion Ct","Portland","Oregon","United States","97205"
11063,"Angela Murphy","1980-10-04","S","F","40000.00","4927 Virgil Street","Redmond","Washington","United States","98052"
11064,"Chase Reed","1981-06-05","M","M","40000.00","2721 Alexander Pl.","Downey","California","United States","90241"
11065,"Jessica Henderson","1979-04-08","M","F","60000.00","9343 Ironwood Way","La Jolla","California","United States","92806"
11066,"Grace T Butler","1979-05-27","M","F","70000.00","4739 Garden Ave.","Lebanon","Oregon","United States","97355"
11067,"Caleb F Carter","1982-03-25","S","M","60000.00","9563 Pennsylvania Blvd.","Port Orchard","Washington","United States","98366"
11068,"Tiffany Liang","1966-09-19","S","F","80000.00","3608 Sinclair Avenue","Warrnambool","Victoria","Australia","3280"
11069,"Carolyn Navarro","1966-09-17","S","F","80000.00","4606 Springwood Court","Gold Coast","Queensland","Australia","4217"
11070,"Willie T Raji","1960-10-02","M","M","80000.00","6260 Vernal Drive","Sunbury","Victoria","Australia","3429"
11071,"Linda Serrano","1960-12-23","S","F","80000.00","9808 Shaw Rd.","Hawthorne","Queensland","Australia","4171"
11072,"Casey Luo","1960-08-05","S","F","80000.00","9513 Roslyn Drive","St. Leonards","New South Wales","Australia","2065"
11073,"Amy Ye","1962-02-11","S","F","70000.00","2262 Kirkwood Ct.","Springwood","New South Wales","Australia","2777"
11074,"Levi A Arun","1962-02-25","S","M","70000.00","4661 Bluetail","Cloverdale","South Australia","Australia","6105"
11075,"Felicia L Jimenez","1963-05-16","S","F","80000.00","786 Eastgate Ave","Bendigo","Victoria","Australia","3550"
11076,"Blake Anderson","1963-01-10","S","M","80000.00","5436 Clear","Wollongong","New South Wales","Australia","2500"
11077,"Leah Ye","1963-03-19","S","F","80000.00","1291 Arguello Blvd.","Melton","Victoria","Australia","3337"
11078,"Gina E Martin","1985-01-06","S","F","40000.00","1349 Sol St.","Cliffside","British Columbia","Canada","V8Y 1L1"
11079,"Donald Gonzalez","1970-03-07","S","M","160000.00","4236 Malibu Place","Geelong","Victoria","Australia","3220"
11080,"Damien Chander","1965-01-13","M","M","170000.00","9941 Stonehedge Dr.","Perth","South Australia","Australia","6006"
11081,"Savannah C Baker","1972-01-21","M","F","120000.00","1210 Trafalgar Circle","Concord","California","United States","94519"
11082,"Angela L Butler","1972-02-01","S","F","130000.00","6040 Listing Ct","Fremont","California","United States","94536"
11083,"Alyssa F Cox","1977-03-11","M","F","130000.00","867 La Orinda Place","Lincoln Acres","California","United States","91950"
11084,"Lucas Phillips","1963-03-12","S","M","80000.00","8668 St. Celestine Court","Lebanon","Oregon","United States","97355"
